structure,gap_class,band_gap,stability,coverage_score,mlip_stability
Cs3ScNiBr7Cl2,0.76,1.1071036,-0.0307350363554983,0.365,0.0152034397777307
Cs3ScNiI2Br7,0.7200000000000001,1.0906541,-0.0289914282220296,0.365,0.0146016747793376
Cs3ScVI2Br7,0.56,1.4359103,-0.0164377826864416,0.365,0.017772725301199
Cs3ScZn(I2Br)3,0.72,1.7886922,-0.0060268233116611,0.29,0.0439956411719782
Cs3ScZn(IBr2)3,0.8,2.3136938,-0.0136562382907348,0.29,0.0314244394983721
Cs3ScZnI4Br5,0.8,2.0928364,-0.0091784126678275,0.29,0.032609774357174
Cs3ScZnI5Br4,0.72,2.5959105,-0.0109675896955896,0.29,0.0343870304784414
Cs3Ti2(Br2Cl)3,0.52,1.2938722,-0.0225902083081785,0.4,0.0315886823877148
Cs3Ti2(IBr2)3,0.5199999999999999,1.1340835,-0.014765615730691,1.0,0.0334314878796707
Cs3Ti2Br5Cl4,0.52,1.300958,-0.0200850589968797,0.4,0.0199564389959654
Cs3Ti2Br7Cl2,0.5200000000000001,1.2730744,-0.0306114098655705,0.4,0.0328697228567046
Cs3Ti2I2Br7,0.6,1.0732851,-0.0199014915750279,1.0,0.0405412831244976
Cs3Ti2I4Br5,0.64,1.0221092,-0.0226261132848837,1.0,0.0375654015730035
Cs3TiCu(Br2Cl)3,0.8400000000000001,1.163543,-0.0177868144488202,0.365,0.0080993118433141
Cs3VAgBr8Cl,0.8800000000000001,1.2062532,-0.0134750287930096,0.44,0.0002818602736607
Cs3VGaBr8Cl,0.76,1.2544992,-0.021999676788055,0.29,0.0046950609318188
Cs3VGeBr7Cl2,0.64,1.2799325,-0.0171002327004345,0.35,0.0089085012083702
Cs3VInBr7Cl2,0.8,1.3089942,-0.0204416198947918,0.38,0.009740011707944
Cs3VInBr9,0.64,1.0553265,-0.0416669596879148,1.0,0.0112448391502931
Cs3YAg(I2Br)3,0.8,1.513392,-0.0385900686759419,0.29,0.01608927072544
Cs3YAg(IBr2)3,0.92,1.7332258,-0.0150047088857083,0.29,0.017113524702483
Cs3YAgBr4Cl5,0.8400000000000001,1.8816246,-0.0056736854309507,0.365,0.0047123792792748
Cs3YAgBr7Cl2,0.8400000000000001,1.9624087,-0.0400735623038284,0.365,0.0061676409396201
Cs3YAgI4Br5,0.8800000000000001,1.6525921,-0.0127349195355648,0.29,0.0153213267412088
Cs3YAgI5Br4,0.8800000000000001,1.507509,-0.0191289251851827,0.29,0.0178354976863408
Cs3YAgI7Br2,0.8800000000000001,1.5039833,-0.0555632186259271,0.29,0.0212601919834651
Cs3YCoBr7Cl2,0.64,1.1029658,-0.0072486885956373,0.26,0.0152097431917779
